[665314][System][I] PWR 4.20V, 337ma
[725318][System][I] PWR 4.20V, 333ma
[785327][System][I] PWR 4.20V, 379ma
[845339][System][I] PWR 4.20V, 348ma
[905351][System][I] PWR 4.20V, 313ma
[965362][System][I] PWR 4.20V, 314ma
[1025367][System][I] PWR 4.20V, 297ma
[1085378][System][I] PWR 4.20V, 328ma
[1145388][System][I] PWR 4.20V, 292ma
[1205394][System][I] PWR 4.20V, 295ma
[1265404][System][I] PWR 4.20V, 289ma
[1325412][System][I] PWR 4.20V, 287ma
[1385416][System][I] PWR 4.20V, 312ma
[1445423][System][I] PWR 4.20V, 277ma
[1505430][System][I] PWR 4.20V, 266ma
[1565435][System][I] PWR 4.20V, 254ma
[1625442][System][I] PWR 4.20V, 227ma
[1685453][System][I] PWR 4.20V, 269ma
[1745460][System][I] PWR 4.20V, 228ma
[1805470][System][I] PWR 4.20V, 247ma
[1865474][System][I] PWR 4.20V, 216ma
[1925483][System][I] PWR 4.20V, 231ma
[1985488][System][I] PWR 4.20V, 246ma
[2045498][System][I] PWR 4.20V, 219ma
[2105510][System][I] PWR 4.20V, 200ma
[2165517][System][I] PWR 4.20V, 205ma
[2225527][System][I] PWR 4.20V, 218ma
[2285537][System][I] PWR 4.20V, 210ma
[2345548][System][I] PWR 4.20V, 191ma
[2405561][System][I] PWR 4.20V, 195ma
[2465567][System][I] PWR 4.20V, 213ma
[2525579][System][I] PWR 4.20V, 174ma
[2585591][System][I] PWR 4.20V, 197ma
[2645602][System][I] PWR 4.13V, -283ma
[2705616][System][I] PWR 4.20V, 231ma
[2765622][System][I] PWR 4.20V, 221ma
[2825632][System][I] PWR 4.20V, 191ma
[2885642][System][I] PWR 4.20V, 184ma
[2945647][System][I] PWR 4.12V, -306ma
[3005654][System][I] PWR 4.20V, 249ma
[3065659][System][I] PWR 4.20V, 204ma
[3125671][System][I] PWR 4.20V, 218ma
[3185678][System][I] PWR 4.20V, 210ma
[3245682][System][I] PWR 4.13V, -335ma
[3305686][System][I] PWR 4.13V, -282ma
[3365691][System][I] PWR 4.20V, 225ma
[3425699][System][I] PWR 4.20V, 199ma
[3485707][System][I] PWR 4.20V, 172ma
[3545718][System][I] PWR 4.12V, -343ma
[3605721][System][I] PWR 4.20V, 234ma
[3665732][System][I] PWR 4.20V, 196ma
[3725740][System][I] PWR 4.20V, 187ma
[3785753][System][I] PWR 4.12V, -349ma
[3845761][System][I] PWR 4.20V, 211ma
[3905766][System][I] PWR 4.20V, 199ma
[3965773][System][I] PWR 4.20V, 194ma
[4025783][System][I] PWR 4.13V, -281ma
[4085796][System][I] PWR 4.11V, -337ma
[4145807][System][I] PWR 4.12V, -281ma
[4205815][System][I] PWR 4.11V, -342ma
[4265820][System][I] PWR 4.12V, -287ma
[4325832][System][I] PWR 4.11V, -340ma
[4385842][System][I] PWR 4.11V, -336ma
[4445852][System][I] PWR 4.11V, -334ma
[4505858][System][I] PWR 4.11V, -281ma
[4565869][System][I] PWR 4.10V, -338ma
[4625882][System][I] PWR 4.11V, -299ma
[4685892][System][I] PWR 4.11V, -276ma
[4745900][System][I] PWR 4.10V, -341ma
[4805905][System][I] PWR 4.10V, -342ma
[4865917][System][I] PWR 4.10V, -319ma
[4925930][System][I] PWR 4.10V, -291ma
[4985940][System][I] PWR 4.10V, -284ma
[5045948][System][I] PWR 4.10V, -281ma
[5105952][System][I] PWR 4.09V, -347ma
[5165967][System][I] PWR 4.09V, -348ma
[5225976][System][I] PWR 4.09V, -286ma
[5285981][System][I] PWR 4.10V, -284ma
[5345996][System][I] PWR 4.10V, -280ma
[5406001][System][I] PWR 4.09V, -340ma
[5466007][System][I] PWR 4.09V, -307ma
[5526012][System][I] PWR 4.08V, -338ma
[5586023][System][I] PWR 4.09V, -275ma
[5646033][System][I] PWR 4.08V, -331ma
[5706037][System][I] PWR 4.08V, -347ma
[5766049][System][I] PWR 4.08V, -348ma
[5826053][System][I] PWR 4.08V, -284ma
[5886083][System][I] PWR 4.08V, -335ma
[5946088][System][I] PWR 4.07V, -339ma
[6006097][System][I] PWR 4.08V, -285ma
[6066111][System][I] PWR 4.07V, -350ma
[6126123][System][I] PWR 4.08V, -283ma
[6186132][System][I] PWR 4.08V, -281ma
[6246140][System][I] PWR 4.07V, -348ma
[6306147][System][I] PWR 4.07V, -343ma
[6366158][System][I] PWR 4.07V, -312ma
[6426168][System][I] PWR 4.07V, -350ma
[6486180][System][I] PWR 4.07V, -350ma
[6546189][System][I] PWR 4.06V, -292ma
[6606202][System][I] PWR 4.07V, -294ma
[6666207][System][I] PWR 4.07V, -315ma
[6726211][System][I] PWR 4.06V, -332ma
[6786217][System][I] PWR 4.06V, -354ma
[6846228][System][I] PWR 4.06V, -297ma
[6906239][System][I] PWR 4.06V, -342ma
[6966251][System][I] PWR 4.06V, -303ma
[7026259][System][I] PWR 4.06V, -286ma
[7086263][System][I] PWR 4.06V, -330ma
[7146273][System][I] PWR 4.06V, -291ma
[7206286][System][I] PWR 4.06V, -281ma
[7266294][System][I] PWR 4.06V, -321ma
[7326301][System][I] PWR 4.05V, -342ma
[7386312][System][I] PWR 4.06V, -335ma
[7446317][System][I] PWR 4.05V, -345ma
[7506328][System][I] PWR 4.05V, -344ma
[7566333][System][I] PWR 4.05V, -286ma
[7626344][System][I] PWR 4.05V, -286ma
[7686353][System][I] PWR 4.05V, -355ma
[7746359][System][I] PWR 4.05V, -334ma
[7806366][System][I] PWR 4.05V, -287ma
[7866379][System][I] PWR 4.05V, -284ma
[7926383][System][I] PWR 4.05V, -286ma
[7986392][System][I] PWR 4.04V, -304ma
[8046401][System][I] PWR 4.04V, -285ma
[8106406][System][I] PWR 4.04V, -328ma
[8166412][System][I] PWR 4.03V, -345ma
[8226426][System][I] PWR 4.04V, -316ma
[8286440][System][I] PWR 4.03V, -400ma
[8346443][System][I] PWR 4.03V, -333ma
[8406452][System][I] PWR 4.04V, -287ma
[8466457][System][I] PWR 4.03V, -378ma
[8526462][System][I] PWR 4.03V, -335ma
[8586467][System][I] PWR 4.03V, -299ma
[8646473][System][I] PWR 4.03V, -346ma
[8706485][System][I] PWR 4.03V, -347ma
[8766494][System][I] PWR 4.03V, -293ma
[8826508][System][I] PWR 4.03V, -303ma
[8886518][System][I] PWR 4.03V, -284ma
[8946529][System][I] PWR 4.02V, -343ma
[9006533][System][I] PWR 4.02V, -347ma
[9066547][System][I] PWR 4.02V, -340ma
[9126554][System][I] PWR 4.03V, -290ma
[9186560][System][I] PWR 4.02V, -355ma
[9246564][System][I] PWR 4.02V, -291ma
[9306571][System][I] PWR 4.02V, -329ma
[9366576][System][I] PWR 4.02V, -287ma
[9426581][System][I] PWR 4.02V, -319ma
[9486588][System][I] PWR 4.02V, -286ma
[9546601][System][I] PWR 4.01V, -338ma
[9606612][System][I] PWR 4.01V, -354ma
[9666622][System][I] PWR 4.02V, -288ma
[9726628][System][I] PWR 4.01V, -359ma
[9786637][System][I] PWR 4.02V, -285ma
[9846646][System][I] PWR 4.01V, -299ma
[9906652][System][I] PWR 4.02V, -278ma
[9966662][System][I] PWR 4.01V, -348ma
[10026667][System][I] PWR 4.01V, -315ma
[10086670][System][I] PWR 4.00V, -349ma
[10146680][System][I] PWR 4.00V, -350ma
[10206685][System][I] PWR 4.00V, -347ma
[10266695][System][I] PWR 4.01V, -322ma
[10326707][System][I] PWR 4.01V, -289ma
[10386717][System][I] PWR 4.01V, -281ma
[10446727][System][I] PWR 4.01V, -290ma
[10506740][System][I] PWR 4.00V, -348ma
[10566753][System][I] PWR 4.00V, -319ma
[10626766][System][I] PWR 4.00V, -291ma
[10686775][System][I] PWR 3.99V, -348ma
[10746783][System][I] PWR 4.00V, -289ma
[10806787][System][I] PWR 4.00V, -287ma
[10866800][System][I] PWR 4.00V, -302ma
[10926807][System][I] PWR 4.00V, -284ma
[10986818][System][I] PWR 4.00V, -300ma
[11046824][System][I] PWR 3.99V, -352ma
[11106837][System][I] PWR 3.99V, -332ma
[11166845][System][I] PWR 3.99V, -355ma
[11226850][System][I] PWR 3.99V, -348ma
[11286861][System][I] PWR 3.99V, -344ma
[11346866][System][I] PWR 3.98V, -336ma
[11406879][System][I] PWR 3.99V, -289ma
[11466890][System][I] PWR 3.99V, -293ma
[11526894][System][I] PWR 3.98V, -346ma
[11586907][System][I] PWR 3.99V, -295ma
[11646915][System][I] PWR 3.98V, -360ma
[11706928][System][I] PWR 3.99V, -290ma
[11766937][System][I] PWR 3.98V, -356ma
[11826946][System][I] PWR 3.98V, -293ma
[11886952][System][I] PWR 3.97V, -348ma
[11946957][System][I] PWR 3.98V, -323ma
[12006968][System][I] PWR 3.97V, -349ma
[12066980][System][I] PWR 3.97V, -357ma
[12126985][System][I] PWR 3.97V, -354ma
[12186995][System][I] PWR 3.97V, -363ma
[12247001][System][I] PWR 3.97V, -338ma
[12307017][System][I] PWR 3.97V, -299ma
[12367024][System][I] PWR 3.97V, -349ma
